idoffspring	siresim	damsim	a	e	p	fam	pool
off.38877	id0033	id0028	195.913687936747	45.2370675530591	241.150755489806	39	0
off.49308	id0023	id0036	116.853096365175	125.100343659502	241.953440024677	50	0
off.39492	id0024	id0036	129.487380316177	114.05728260273	243.544662918907	40	0
off.22021	id0030	id0031	10.1679555462272	234.954017535343	245.12197308157	23	0
off.26280	id0033	id0035	222.225151121823	24.4368308176391	246.661981939462	27	0
off.39721	id0024	id0036	120.895736925493	126.630167361979	247.525904287471	40	0
off.22710	id0030	id0031	164.271216173295	84.4522140494953	248.72343022279	23	0
off.49806	id0023	id0036	203.852355772485	48.223578790447	252.075934562932	50	0
off.1	id0030	id0036	97.5120825610096	154.632997895408	252.145080456418	1	0
off.4944	id0040	id0028	85.3370393362586	170.325039080389	255.662078416647	5	0
off.10688	id0024	id0034	149.80201080839	106.333037468046	256.135048276435	11	0
off.38136	id0033	id0028	129.468309269229	127.45737417032	256.925683439549	39	0
off.4179	id0040	id0028	59.4438802058497	198.52670133282	257.97058153867	5	0
off.22733	id0030	id0031	38.722515666243	223.363370018979	262.085885685222	23	0
off.10139	id0024	id0034	232.807172335539	30.5784321827793	263.385604518318	11	0
off.22617	id0030	id0031	143.218434660209	121.029759186657	264.248193846866	23	0
off.49870	id0023	id0036	24.9654307946125	240.186194039398	265.151624834011	50	0
off.22457	id0030	id0031	35.864040221079	230.66347158361	266.527511804689	23	0
off.194	id0030	id0036	65.7654399929382	200.779808973706	266.545248966644	1	0
off.483	id0030	id0036	124.060366614816	144.449573598505	268.509940213321	1	0
off.187	id0030	id0036	19.6277089468909	249.42990689979	269.057615846681	1	0
off.10648	id0024	id0034	116.816711491559	153.091174582348	269.907886073907	11	0
off.22126	id0030	id0031	128.325667249583	142.42269316748	270.748360417063	23	0
off.26346	id0033	id0035	345.831219134239	-74.5579640911455	271.273255043094	27	0
off.40530	id0030	id0034	172.859246945571	98.6168773295266	271.476124275097	41	0
off.4609	id0040	id0028	108.1152629074	163.69822061239	271.81348351979	5	0
off.19912	id0023	id0035	142.835819307424	129.499983928849	272.335803236273	20	0
off.910	id0030	id0036	-6.02029329998258	278.62324051559	272.602947215608	1	0
off.39413	id0024	id0036	87.5745520636632	185.543005324493	273.117557388156	40	0
off.49838	id0023	id0036	133.598053246268	139.87330244785	273.471355694118	50	0
off.39042	id0024	id0036	83.2910820106627	190.957954285885	274.249036296548	40	0
off.4565	id0040	id0028	148.877870300432	125.482924935276	274.360795235708	5	0
off.610	id0030	id0036	130.321885439341	144.38039453311	274.702279972451	1	0
off.38354	id0033	id0028	307.063885364936	-29.7297805107951	277.33410485414	39	0
off.4500	id0040	id0028	112.570862940195	166.362303777022	278.933166717218	5	0
off.4653	id0040	id0028	87.5895500256652	191.396608414741	278.986158440407	5	0
off.661	id0030	id0036	106.568742423688	172.72803559766	279.296778021348	1	0
off.22122	id0030	id0031	55.0720004466155	224.370169343785	279.442169790401	23	0
off.22376	id0030	id0031	65.4465655559129	214.103732431817	279.55029798773	23	0
off.40113	id0030	id0034	223.916048029475	60.4108952606321	284.326943290107	41	0
off.26183	id0033	id0035	238.981687337197	47.8637934075787	286.845480744776	27	0
off.10846	id0024	id0034	84.1095482244633	204.500845607433	288.610393831896	11	0
off.49863	id0023	id0036	80.3571250592014	209.534312531558	289.891437590759	50	0
off.38305	id0033	id0028	256.587558710821	33.50492700815	290.092485718971	39	0
off.49118	id0023	id0036	97.7554735727322	192.715978929345	290.471452502078	50	0
off.992	id0030	id0036	185.348259577562	105.423094690661	290.771354268224	1	0
off.40830	id0030	id0034	188.597695752384	103.770884023675	292.368579776059	41	0
off.40615	id0030	id0034	109.282771740334	183.342730245632	292.625501985966	41	0
off.22881	id0030	id0031	34.4599875754466	258.175469109229	292.635456684676	23	0
off.38452	id0033	id0028	161.650705038281	131.094433609846	292.745138648127	39	0
off.4587	id0040	id0028	140.753622473573	152.12369108925	292.877313562823	5	0
off.39047	id0024	id0036	90.2654200295665	206.307052400381	296.572472429947	40	0
off.22140	id0030	id0031	-15.7465113581379	312.562543747974	296.816032389836	23	0
off.22144	id0030	id0031	95.5692910724524	201.471651395068	297.040942467521	23	0
off.242	id0030	id0036	73.6336498553067	223.443456894591	297.077106749898	1	0
off.22735	id0030	id0031	89.9031219750842	207.689505179906	297.59262715499	23	0
off.19225	id0023	id0035	89.8411113478263	209.486888194237	299.327999542064	20	0
off.4358	id0040	id0028	207.296925389124	95.1107407845819	302.407666173706	5	0
off.22891	id0030	id0031	-91.0571495888589	393.761172115731	302.704022526872	23	0
off.4346	id0040	id0028	195.621761180238	107.525742107807	303.147503288045	5	0
off.39658	id0024	id0036	148.97894112666	155.364093178077	304.343034304737	40	0
off.39106	id0024	id0036	136.501208701144	172.142398957532	308.643607658676	40	0
off.39203	id0024	id0036	58.0470784760768	251.956907959997	310.003986436074	40	0
off.22815	id0030	id0031	78.6207871041398	232.149666437427	310.770453541567	23	0
off.22013	id0030	id0031	118.55959773978	192.958069700354	311.517667440134	23	0
off.39944	id0024	id0036	122.981264876585	190.304206614822	313.285471491406	40	0
off.38323	id0033	id0028	300.657524309615	14.0855283669692	314.743052676584	39	0
off.19208	id0023	id0035	118.876467720414	196.473840826936	315.35030854735	20	0
off.4327	id0040	id0028	248.607549052118	66.9092157155778	315.516764767696	5	0
off.930	id0030	id0036	20.5929030795415	296.993849185943	317.586752265484	1	0
off.4818	id0040	id0028	80.5535771519121	237.801411073884	318.354988225796	5	0
off.39912	id0024	id0036	78.0104663308932	240.409910716131	318.420377047024	40	0
off.377	id0030	id0036	98.0972667349426	220.323825741932	318.421092476875	1	0
off.19256	id0023	id0035	140.343704047139	178.449351377889	318.793055425028	20	0
off.10384	id0024	id0034	137.627284140029	182.238793032116	319.866077172144	11	0
off.39033	id0024	id0036	38.2089047130813	282.713355140101	320.922259853183	40	0
off.22552	id0030	id0031	87.5453661293494	233.613558057968	321.158924187317	23	0
off.4049	id0040	id0028	171.97104694679	150.304510571908	322.275557518697	5	0
off.49494	id0023	id0036	148.202704703186	174.93571142978	323.138416132966	50	0
off.39501	id0024	id0036	105.143172310663	218.483043542306	323.626215852968	40	0
off.38304	id0033	id0028	310.691154244829	16.6922398226543	327.383394067483	39	0
off.22560	id0030	id0031	-22.0793752482513	349.500326201175	327.420950952924	23	0
off.4553	id0040	id0028	46.7451022686346	280.908319145226	327.65342141386	5	0
off.40133	id0030	id0034	258.154919539783	69.5220921643754	327.677011704158	41	0
off.39450	id0024	id0036	106.529370272179	225.224917386631	331.75428765881	40	0
off.49187	id0023	id0036	88.6978131066047	243.570496408625	332.26830951523	50	0
off.219	id0030	id0036	21.7521384938915	310.575323653526	332.327462147417	1	0
off.277	id0030	id0036	14.4231015432212	319.552590743576	333.975692286797	1	0
off.22411	id0030	id0031	141.196380764153	192.929679351567	334.12606011572	23	0
off.4209	id0040	id0028	142.235258882449	192.863242626937	335.098501509386	5	0
off.39377	id0024	id0036	225.496981219201	111.270042525567	336.767023744769	40	0
off.38023	id0033	id0028	293.462966260251	43.9798492571819	337.442815517433	39	0
off.22526	id0030	id0031	90.3536575740773	247.323718593802	337.677376167879	23	0
off.49773	id0023	id0036	235.406781311041	102.579655803394	337.986437114435	50	0
off.40274	id0030	id0034	124.500021521421	214.246768842392	338.746790363813	41	0
off.889	id0030	id0036	105.244412622778	233.799980041267	339.044392664045	1	0
off.19328	id0023	id0035	243.52426968522	95.7013058056166	339.225575490837	20	0
off.950	id0030	id0036	4.90933248100499	335.611842149425	340.52117463043	1	0
off.10917	id0024	id0034	73.2741320576208	268.084215667642	341.358347725262	11	0
off.4702	id0040	id0028	117.266838564651	224.892019563431	342.158858128081	5	0
off.10495	id0024	id0034	102.006375167257	240.291355017991	342.297730185247	11	0
off.40667	id0030	id0034	27.3582385474808	315.1195834957	342.477822043181	41	0
off.38329	id0033	id0028	147.646281187247	197.919349504539	345.565630691787	39	0
off.39666	id0024	id0036	112.313216758339	233.889642442294	346.202859200633	40	0
off.40571	id0030	id0034	150.203138028112	196.493225219164	346.696363247276	41	0
off.38940	id0033	id0028	269.868009932189	79.4495522457296	349.317562177918	39	0
off.918	id0030	id0036	-31.4558156262793	380.926115829275	349.470300202995	1	0
off.39181	id0024	id0036	181.24643306953	168.237770782223	349.484203851753	40	0
off.49664	id0023	id0036	98.0455391533291	251.443711867094	349.489251020424	50	0
off.22797	id0030	id0031	34.4833671408497	316.025652986882	350.509020127732	23	0
off.19847	id0023	id0035	206.276966671298	145.242580179334	351.519546850632	20	0
off.4590	id0040	id0028	92.364914955592	259.560448365363	351.925363320955	5	0
off.49137	id0023	id0036	124.530184212488	227.640593308969	352.170777521457	50	0
off.22811	id0030	id0031	78.4140529734763	274.756451420133	353.170504393609	23	0
off.10465	id0024	id0034	166.699494996569	186.5938372706	353.293332267169	11	0
off.193	id0030	id0036	162.469360986695	190.964895048415	353.43425603511	1	0
off.4952	id0040	id0028	133.637755085359	219.872047335315	353.509802420674	5	0
off.40669	id0030	id0034	75.0063367550307	278.51240088361	353.518737638641	41	0
off.10624	id0024	id0034	156.218170099552	197.717821360619	353.935991460171	11	0
off.38823	id0033	id0028	143.310660452102	210.808670345353	354.119330797455	39	0
off.485	id0030	id0036	141.625422843644	212.588322321664	354.213745165308	1	0
off.4577	id0040	id0028	110.646236342332	243.984001957005	354.630238299337	5	0
off.22830	id0030	id0031	156.148430095628	198.668307791054	354.816737886681	23	0
off.49054	id0023	id0036	238.31345763624	116.736548002543	355.050005638783	50	0
off.22970	id0030	id0031	54.1953964710473	301.283969931041	355.479366402089	23	0
off.19	id0030	id0036	121.595909961099	234.185140574055	355.781050535154	1	0
off.40552	id0030	id0034	269.149194283259	86.9820673236437	356.131261606902	41	0
off.39104	id0024	id0036	8.30467926644137	347.858795321653	356.163474588095	40	0
off.19352	id0023	id0035	258.357793117201	98.3905559483062	356.748349065507	20	0
off.19486	id0023	id0035	216.258756695045	140.691725821507	356.950482516552	20	0
off.49873	id0023	id0036	82.1269363602566	275.177620638881	357.304556999137	50	0
off.39863	id0024	id0036	85.7459984686723	272.781579783458	358.52757825213	40	0
off.40522	id0030	id0034	211.99008078908	146.988250049734	358.978330838814	41	0
off.40346	id0030	id0034	258.172171917458	100.872749297722	359.044921215179	41	0
off.38948	id0033	id0028	197.573624024863	161.939482181099	359.513106205962	39	0
off.10635	id0024	id0034	210.150228917097	149.622326920406	359.772555837504	11	0
off.39137	id0024	id0036	176.488241057692	183.510585340159	359.998826397851	40	0
off.451	id0030	id0036	75.4401942482484	284.88602080566	360.326215053908	1	0
off.40983	id0030	id0034	104.370549228483	256.300206501276	360.670755729759	41	0
off.39948	id0024	id0036	64.2456556064202	297.28337845953	361.52903406595	40	0
off.39365	id0024	id0036	-2.14642359744994	365.271190146641	363.124766549191	40	0
off.4241	id0040	id0028	188.553022591613	175.607267226428	364.160289818041	5	0
off.10789	id0024	id0034	133.197218658097	231.483024291872	364.680242949969	11	0
off.4548	id0040	id0028	168.759744431334	196.00232335491	364.762067786244	5	0
off.49819	id0023	id0036	53.1544841703637	311.850325187801	365.004809358164	50	0
off.38797	id0033	id0028	292.163879941614	73.11137287822	365.275252819834	39	0
off.22315	id0030	id0031	131.158702995221	234.91626245215	366.074965447371	23	0
off.39205	id0024	id0036	87.6607476442524	278.541620825839	366.202368470091	40	0
off.49225	id0023	id0036	16.2224450004079	351.693972970097	367.916417970505	50	0
off.802	id0030	id0036	56.625201773095	312.07935058205	368.704552355145	1	0
off.39265	id0024	id0036	103.671956319208	266.47183617227	370.143792491478	40	0
off.526	id0030	id0036	167.080880577997	203.201677017312	370.282557595308	1	0
off.40306	id0030	id0034	98.1372504834177	272.224916739417	370.362167222835	41	0
off.38617	id0033	id0028	65.1607040088439	305.470990055568	370.631694064412	39	0
off.22647	id0030	id0031	73.3093570176061	297.526899773699	370.836256791306	23	0
off.39133	id0024	id0036	134.487255462685	236.622379328498	371.109634791183	40	0
off.4305	id0040	id0028	93.3828034790669	278.333291176072	371.716094655139	5	0
off.40216	id0030	id0034	231.373359384161	140.41024360531	371.783602989471	41	0
off.40957	id0030	id0034	90.3525068701983	283.008659741911	373.361166612109	41	0
off.22489	id0030	id0031	147.620794651245	226.074065423413	373.694860074658	23	0
off.38748	id0033	id0028	117.067934732356	256.864439521513	373.93237425387	39	0
off.22543	id0030	id0031	143.727442545263	230.395071491262	374.122514036525	23	0
off.22290	id0030	id0031	180.498693380342	195.700878507111	376.199571887453	23	0
off.49139	id0023	id0036	178.146664799705	200.026048184091	378.172712983796	50	0
off.4062	id0040	id0028	244.790618851643	133.83695834617	378.627577197813	5	0
off.39493	id0024	id0036	126.544893423859	252.991024477003	379.535917900862	40	0
off.77	id0030	id0036	-20.908161251313	400.970569292177	380.062408040864	1	0
off.39965	id0024	id0036	136.753358505269	244.03813535815	380.791493863419	40	0
off.19727	id0023	id0035	196.608268297673	184.417063294372	381.025331592045	20	0
off.511	id0030	id0036	120.834545192382	260.548077886038	381.38262307842	1	0
off.40117	id0030	id0034	135.447721717375	248.144788856488	383.592510573862	41	0
off.51	id0030	id0036	46.2640632490862	337.50318955051	383.767252799596	1	0
off.49949	id0023	id0036	153.029877268505	231.176721642231	384.206598910736	50	0
off.4697	id0040	id0028	82.4082856322187	303.710045035459	386.118330667677	5	0
off.39416	id0024	id0036	95.657395555769	290.607112023291	386.26450757906	40	0
off.49932	id0023	id0036	-14.8238943687186	401.633068294082	386.809173925363	50	0
off.10513	id0024	id0034	160.310157530282	226.61253089278	386.922688423062	11	0
off.26703	id0033	id0035	243.759822312223	143.771746235237	387.53156854746	27	0
off.49047	id0023	id0036	152.36311859464	235.602671922655	387.965790517296	50	0
off.998	id0030	id0036	256.772841616905	132.390307907369	389.163149524275	1	0
off.40406	id0030	id0034	108.336484323419	282.239759099956	390.576243423375	41	0
off.22757	id0030	id0031	0.243557471333716	391.127852366235	391.371409837569	23	0
off.885	id0030	id0036	145.98496111978	245.725430394565	391.710391514345	1	0
off.442	id0030	id0036	44.1801866718855	348.489604366881	392.669791038767	1	0
off.130	id0030	id0036	227.40249518154	165.409450530261	392.811945711801	1	0
off.22768	id0030	id0031	51.7920007825134	341.641510456421	393.433511238935	23	0
off.19564	id0023	id0035	149.766896134636	244.159595584706	393.926491719342	20	0
off.4724	id0040	id0028	116.531372174898	277.777511020891	394.308883195789	5	0
off.22682	id0030	id0031	7.43222982080692	387.386357520705	394.818587341512	23	0
off.38352	id0033	id0028	186.715844474583	209.421186948974	396.137031423557	39	0
off.22345	id0030	id0031	92.6642210248739	304.055233481421	396.719454506295	23	0
off.38635	id0033	id0028	318.921796096791	77.9219836520738	396.843779748865	39	0
off.38271	id0033	id0028	292.450384909646	104.782191285559	397.232576195205	39	0
off.40607	id0030	id0034	156.069611845772	241.201778143373	397.271389989145	41	0
off.22463	id0030	id0031	112.243498417893	285.350123196287	397.59362161418	23	0
off.49667	id0023	id0036	154.734513715189	243.590536068112	398.325049783301	50	0
off.984	id0030	id0036	79.1488623413503	320.260885482288	399.409747823639	1	0
off.40068	id0030	id0034	193.107414232351	207.094652811703	400.202067044054	41	0
off.40041	id0030	id0034	49.5746237944768	350.670366840728	400.244990635204	41	0
off.38417	id0033	id0028	175.712844266345	224.796379804341	400.509224070687	39	0
off.49517	id0023	id0036	67.577303877069	334.669709311779	402.247013188848	50	0
off.19277	id0023	id0035	214.46668850899	188.173897116553	402.640585625543	20	0
off.22024	id0030	id0031	205.610567930638	198.746162480605	404.356730411243	23	0
off.39503	id0024	id0036	46.6436037513067	357.752057556094	404.395661307401	40	0
off.4422	id0040	id0028	170.586038495831	235.082957055771	405.668995551602	5	0
off.19363	id0023	id0035	304.924931854202	101.091778425141	406.016710279342	20	0
off.39593	id0024	id0036	142.652145355291	264.37172577931	407.023871134601	40	0
off.19058	id0023	id0035	120.211240677603	287.029583527025	407.240824204628	20	0
off.22460	id0030	id0031	47.0038205463004	360.271593616874	407.275414163174	23	0
off.40838	id0030	id0034	169.200902712389	239.390588116285	408.591490828674	41	0
off.22054	id0030	id0031	114.973365667265	294.101800000706	409.07516566797	23	0
off.10516	id0024	id0034	156.762715283759	253.328589333714	410.091304617474	11	0
off.22661	id0030	id0031	49.3582689196874	361.322904929852	410.68117384954	23	0
off.22134	id0030	id0031	90.2830605136362	320.44006192878	410.723122442417	23	0
off.39692	id0024	id0036	140.302125954712	270.534444696316	410.836570651028	40	0
off.40657	id0030	id0034	64.6756625401772	346.50246005185	411.178122592027	41	0
off.838	id0030	id0036	117.913239796143	293.583285623974	411.496525420117	1	0
off.22410	id0030	id0031	22.9974091301548	388.922426410283	411.919835540438	23	0
off.22852	id0030	id0031	58.9449793168631	353.075217126896	412.020196443759	23	0
off.10618	id0024	id0034	294.842789474003	117.858425960293	412.701215434296	11	0
off.38175	id0033	id0028	247.545792309903	165.839627849746	413.385420159649	39	0
off.10604	id0024	id0034	296.298464225936	117.902062037461	414.200526263398	11	0
off.19793	id0023	id0035	217.784901268672	196.97606690374	414.760968172413	20	0
off.48	id0030	id0036	76.7949090348022	338.272799307122	415.067708341924	1	0
off.19807	id0023	id0035	261.380007843084	154.018734180738	415.398742023822	20	0
off.26448	id0033	id0035	188.504564239922	227.121639633779	415.626203873701	27	0
off.40481	id0030	id0034	165.887741297692	249.862798517513	415.750539815205	41	0
off.4878	id0040	id0028	163.963667426505	253.156079918451	417.119747344955	5	0
off.22636	id0030	id0031	68.7867701095412	348.674505625235	417.461275734777	23	0
off.4576	id0040	id0028	143.323487065564	275.03117344001	418.354660505574	5	0
off.10377	id0024	id0034	243.402868021743	175.435543056729	418.838411078473	11	0
off.49803	id0023	id0036	202.819337075545	216.183256437994	419.002593513539	50	0
off.39581	id0024	id0036	142.706467104922	276.60259002519	419.309057130113	40	0
off.49940	id0023	id0036	16.156371730262	403.191746989001	419.348118719263	50	0
off.4840	id0040	id0028	28.4964723528808	391.155827966784	419.652300319665	5	0
off.39060	id0024	id0036	67.2219720536732	352.454274741223	419.676246794896	40	0
off.10675	id0024	id0034	125.654041300788	294.472501899743	420.126543200532	11	0
off.38223	id0033	id0028	333.433170857951	87.0146666767501	420.447837534701	39	0
off.616	id0030	id0036	99.4349928938222	321.190724506895	420.625717400717	1	0
off.49570	id0023	id0036	108.375338572972	312.790088935776	421.165427508748	50	0
off.40900	id0030	id0034	258.758576153831	162.700358943503	421.458935097334	41	0
off.4549	id0040	id0028	192.470093227599	229.531672319682	422.001765547281	5	0
off.39273	id0024	id0036	105.148666197214	318.038046433357	423.186712630571	40	0
off.49855	id0023	id0036	254.241101200792	169.418534811711	423.659636012503	50	0
off.19802	id0023	id0035	255.492785502927	168.373967889102	423.866753392029	20	0
off.19613	id0023	id0035	193.26794434728	230.930262204012	424.198206551292	20	0
off.19816	id0023	id0035	239.397626646514	185.770327782359	425.167954428873	20	0
off.299	id0030	id0036	147.684767057753	277.588426797265	425.273193855018	1	0
off.39355	id0024	id0036	234.516889784011	191.659744726481	426.176634510492	40	0
off.49163	id0023	id0036	42.1739436001846	384.069436108069	426.243379708254	50	0
off.19139	id0023	id0035	139.188376512873	287.244234631748	426.432611144621	20	0
off.4711	id0040	id0028	141.067689675007	285.43972585481	426.507415529817	5	0
off.19485	id0023	id0035	235.357342265299	192.114679102309	427.472021367608	20	0
off.49029	id0023	id0036	41.2571549396526	386.252158238907	427.50931317856	50	0
off.39870	id0024	id0036	89.8950478013973	338.574430853273	428.46947865467	40	0
off.22108	id0030	id0031	18.0880303547989	411.603444201777	429.691474556576	23	0
off.22778	id0030	id0031	36.3662867765884	393.374420783897	429.740707560486	23	0
off.49894	id0023	id0036	142.255307897478	290.120919137931	432.376227035409	50	0
off.39243	id0024	id0036	119.034428166144	314.093142393585	433.127570559729	40	0
off.40505	id0030	id0034	131.237805574445	301.911016701106	433.148822275551	41	0
off.10556	id0024	id0034	115.542750324061	317.884019472542	433.426769796603	11	0
off.26345	id0033	id0035	306.604531413881	127.057163600881	433.661695014762	27	0
off.622	id0030	id0036	112.893653943135	320.772199634839	433.665853577974	1	0
off.39872	id0024	id0036	188.661756753183	246.912870156203	435.574626909386	40	0
off.22525	id0030	id0031	40.1792410530826	396.392152969761	436.571394022844	23	0
off.40492	id0030	id0034	112.054773259876	324.600116100288	436.654889360164	41	0
off.141	id0030	id0036	160.974372073972	276.188954628633	437.163326702605	1	0
off.49067	id0023	id0036	168.116682296904	269.383987868486	437.50067016539	50	0
off.4390	id0040	id0028	147.14546153292	290.570512542725	437.715974075645	5	0
off.22005	id0030	id0031	71.9172324938267	366.031076674707	437.948309168534	23	0
off.40617	id0030	id0034	181.222360587036	257.049960847095	438.272321434131	41	0
off.841	id0030	id0036	244.533541278141	193.916673647667	438.450214925809	1	0
off.49472	id0023	id0036	202.452833314529	236.520706520145	438.973539834673	50	0
off.49023	id0023	id0036	124.98257828671	314.109762407656	439.092340694366	50	0
off.40516	id0030	id0034	238.344365609125	201.086649130467	439.431014739592	41	0
off.22851	id0030	id0031	69.6439101351835	370.333913370472	439.977823505656	23	0
off.49580	id0023	id0036	112.248664893725	327.891105699032	440.139770592757	50	0
off.49794	id0023	id0036	-5.37959778113117	445.670060025953	440.290462244822	50	0
off.4610	id0040	id0028	137.021373836739	303.679854902951	440.70122873969	5	0
off.111	id0030	id0036	96.1951592711087	344.803364384904	440.998523656013	1	0
off.39975	id0024	id0036	129.812930202884	311.188743078121	441.001673281005	40	0
off.39805	id0024	id0036	154.442988508184	286.637889605784	441.080878113968	40	0
off.619	id0030	id0036	25.7423323266452	416.914143991019	442.656476317665	1	0
off.10079	id0024	id0034	181.027631485517	262.088544509469	443.116175994986	11	0
off.39251	id0024	id0036	94.1705106424969	349.029858680658	443.200369323155	40	0
off.49785	id0023	id0036	136.49196787571	306.974109400691	443.466077276401	50	0
off.49363	id0023	id0036	167.50346700598	275.963200450459	443.466667456439	50	0
off.26336	id0033	id0035	350.661324214212	92.8959905778198	443.557314792032	27	0
off.40379	id0030	id0034	200.946187979671	242.803976041642	443.750164021314	41	0
off.4614	id0040	id0028	33.9964999318432	410.204785858415	444.201285790258	5	0
off.304	id0030	id0036	111.2932108071	333.075701279243	444.368912086343	1	0
off.22097	id0030	id0031	31.1323099145753	413.507052380459	444.639362295034	23	0
off.10815	id0024	id0034	172.569142385892	272.234975955431	444.804118341323	11	0
off.10042	id0024	id0034	93.2426521811253	351.603309413979	444.845961595104	11	0
off.38063	id0033	id0028	249.920131042624	194.95558271802	444.875713760644	39	0
off.19525	id0023	id0035	209.550954327485	235.815580485337	445.366534812822	20	0
off.19500	id0023	id0035	75.6352912879435	369.837621381138	445.472912669082	20	0
off.10412	id0024	id0034	79.1034984595941	366.454820114357	445.558318573951	11	0
off.22553	id0030	id0031	111.069778750532	335.02697629916	446.096755049692	23	0
off.19501	id0023	id0035	166.886583076112	279.234249591078	446.12083266719	20	0
off.38920	id0033	id0028	266.111751479849	180.856530473223	446.968281953073	39	0
off.39778	id0024	id0036	25.2345284548426	421.791932083257	447.026460538099	40	0
off.38400	id0033	id0028	285.692328340908	161.582532890119	447.274861231027	39	0
off.40905	id0030	id0034	214.950774450643	232.736189964327	447.686964414971	41	0
off.39346	id0024	id0036	-27.0872570349285	475.100271097972	448.013014063044	40	0
off.39624	id0024	id0036	120.921818892109	328.127549137721	449.049368029831	40	0
off.26904	id0033	id0035	362.117634716057	87.1353791317709	449.253013847828	27	0
off.214	id0030	id0036	99.1537846484459	350.19132390026	449.345108548706	1	0
off.10005	id0024	id0034	171.445514963198	278.060927118715	449.506442081913	11	0
off.19762	id0023	id0035	210.848818411479	238.787694521098	449.636512932577	20	0
off.22570	id0030	id0031	152.065916594239	297.608021016672	449.673937610911	23	0
off.4031	id0040	id0028	147.866010119905	302.22519936649	450.091209486396	5	0
off.10128	id0024	id0034	145.434892476141	304.812047096768	450.246939572908	11	0
off.39343	id0024	id0036	111.989056270701	338.578940923149	450.56799719385	40	0
off.49759	id0023	id0036	155.064005120746	295.533986000912	450.597991121659	50	0
off.38220	id0033	id0028	314.378924824077	136.225124009779	450.604048833856	39	0
off.26460	id0033	id0035	243.312171884545	207.753880662352	451.066052546897	27	0
off.19164	id0023	id0035	258.454434981585	192.652781136828	451.107216118412	20	0
off.10760	id0024	id0034	151.267954930971	300.375694817931	451.643649748902	11	0
off.39917	id0024	id0036	135.414463107331	316.244490297252	451.658953404583	40	0
